Name,Set,Imagefile,Number,Rarity,Type,Attack,Attack Type,Cost,Damage,Link,Text
Toasty,MK Premiere,MK62,062,Rare,Event,,,1,,,"Flip when you attack. This attack gains ""HIT - Your rival discards the top 4 cards of his deck."""
Baraka's Mutant Blades,MK Premiere,MK63,063,Rare,Attack,High Attack,Weapon,2,2,Weapon,This attack does +8 damage.
Hotaru's Grasshopper,MK Premiere,MK64,064,Rare,Attack,High Attack,Kick,2,10,,"While in your energy pile, you may discard this card when your rival plays a 0 or 1 cost attack to block that attack."
Jade's Amazon Power Strike,MK Premiere,MK65,065,Rare,Attack,High Attack,Projectile,1,7,Punch,"While in your energy pile, any of your modifiers to your attacks gain +1. If this card is discarded to pay for ""Jade's Blazing Nitro Kick,"" put this card in your hand."
Kabal's Raging Flash,MK Premiere,MK66,066,Rare,Attack,High Attack,Slam,2,12,,HIT - Your rival shuffles his deck.
Kenshi's Telekinetic Rip,MK Premiere,MK67,067,Rare,Attack,High Attack,Projectile,4,20,,"If another effect makes this attack unblockable and it defeats your rival this round, you are the aggressor in the next round of this game, and you start the round with 6 cards instead of 3."
Kira's Black Dragon Ball,MK Premiere,MK68,068,Rare,Attack,High Attack,Slam,2,10,,HIT - Your rival reveals his hand. Choose and discard a card in his hand.
Kobra's Heart Rip,MK Premiere,MK69,069,Rare,Attack,High Attack,Punch,4,20,,"Reveal 3 /Kobra's Heart Rip/ cards from your hand. If you do, this attack does +15 damage."
Li Mei's Aftershock,MK Premiere,MK70,070,Rare,Attack,High Attack,Weapon,4,20,,"HIT - If you control 6 different kamidogu, you win the round."
Noob Smoke's Dark Assassin,MK Premiere,MK71,071,Rare,Attack,High Attack,Projectile,3,15,,HIT - You may put your hand at the bottom of your deck and draw 3 cards.
Raiden's Electrify,MK Premiere,MK72,072,Rare,Attack,High Attack,Electric,4,20,,"If your rival has 4 copies of 2 different cards in his discard pile, this attack does +15 damage."
Scorpion's Bloody Spear,MK Premiere,MK73,073,Rare,Attack,High Attack,Projectile,2,10,,"While in your energy pile, this card has all attack traits. (*) HIT - Your next attack this turn cannot be stopped."
Shujinko's Master Swordplay,MK Premiere,MK74,074,Rare,Attack,High Attack,Weapon,4,20,,"If this attack is played from the top of your deck with Shujinko's effect, it does +15 damage."
Ashrah's Heavenly LIght,MK Premiere,MK75,075,Rare,Attack,Low Attack,Projectile,2,10,,"When you play another attack this step, you may switch a card in your hand with a card in your energy pile. (*) HIT - Put a weapon or projectile from your discard pile into your energy pile."
Bo' Rai Cho's Earthquake,MK Premiere,MK76,076,Rare,Attack,Low Attack,Projectile,2,10,,"While in your energy pile, increase the number of times per attack you can use Bo' Rai Cho's text by +1."
Dairou's Tombstone Drop,MK Premiere,MK77,077,Rare,Attack,Low Attack,Projectile,2,7,,This attack is unblockable. (*) Rearrange your discard pile.
Mileena's Soaring Sai,MK Premiere,MK78,078,Rare,Attack,Low Attack,Projectile,2,10,,"While in your energy pile, your rival discards the top card of his deck when you block one of his attacks."
Sub-Zero's Cold Shoulder,MK Premiere,MK79,079,Rare,Attack,Low Attack,Slam,1,7,,"You may switch a card from your hand with a card in your energy pile that has ""Sub-Zero"" in its text box. (*) HIT - You may choose for the aggressor to not change at the end of the turn."
Chaosrealm,MK Premiere,MK80,080,Rare,Kamidogu,,,2,,,Your rival discards 2 cards from his hand.
Edenia,MK Premiere,MK81,081,Rare,Kamidogu,,,2,,,Set up to 2 events from your discard pile.
Outworld,MK Premiere,MK82,082,Rare,Kamidogu,,,1,,,Draw the top 2 cards of your discard pile. Discard 2 cards from your hand.
Dragon's Victory,MK Premiere,MK83,083,Ultra Rare,Event,,,0,,,"Flip when you attack. While you control 6 different kamidogu this turn, your attacks do +30 damage and are unblockable. (*) Limit 1 per deck."
Kollecting Kamidogu,MK Premiere,MK84,084,Ultra Rare,Event,,,0,,,Flip as an action in Battle. Play a kamidogu from your side deck.(*)Limit 1 per deck.
Back Whack,MK Premiere,MK4,MK4,Promo,Attack,Low Attack,,,,,"HIT - At the start of your rival's next action, he must either discard a card from his hand or pass."
